      player_id       player_name  Tier  Final_agg_score  agg_PR_score  agg_RunD_score  Situational_score        apy                  Role    Est_APY    Pay_flag  Tier_APY_Z
92   00-0034359          Ty.Lewis     4        82.903486     12.844037       15.137615          35.600000   6.000000              Balanced   5.132288  FairlyPaid    0.882344
93   00-0028008         J.Houston     4        80.364534     11.214703       12.055678          36.000000   6.000000           Replacement   3.721517  FairlyPaid    0.882344
94   00-0038546          M.Murphy     4        78.956913      5.350857       14.473599           6.000000   3.146814           Replacement   3.650719  FairlyPaid    0.023720
95   00-0037711          J.Pharms     4        77.168665      4.814004       17.067834           6.800000   1.145000           Replacement   3.560778  FairlyPaid   -0.578697
96   00-0033902      T.Kpassagnon     4        75.819143      8.679428       15.161604          15.666667   0.396000              Balanced   4.657203  FairlyPaid   -0.804098
97   00-0033096          S.Lawson     4        69.484499      7.298303       13.366050          25.000000   0.315000           Replacement   3.174295  FairlyPaid   -0.828473
98   00-0035265        J.Cominsky     4        68.181803      7.558818       13.800851          22.600000   3.000000           Replacement   3.108775  FairlyPaid   -0.020462
99   00-0039061         D.Johnson     4        65.382504      2.838110        4.376571           8.000000   0.979446           Replacement   2.967981  FairlyPaid   -0.628518
100  00-0035944        J.Williams     4        65.146449      1.174843        5.180040          12.200000   0.342000           Replacement   2.956109  FairlyPaid   -0.820348
101  00-0033595        P.O'Connor     4        64.596610      3.389831       18.644068           4.333333   0.315000          Run Defender   3.514145  FairlyPaid   -0.828473
102  00-0036850          C.Sample     5        58.863071      7.540529       14.931216          15.000000   1.267500           Replacement   3.750000  FairlyPaid   -0.061924
103  00-0037826         D.Jackson     5        57.952109      2.172183        1.687999          30.800000   1.402500           Replacement   3.750000  FairlyPaid   -0.007281
104  00-0037082        D.Robinson     5        55.941558      2.244178        7.492618           8.400000   3.000000           Replacement   3.750000  FairlyPaid    0.639320
105  00-0037815          C.Thomas     5        55.873025      7.343041       17.211745          17.333333   3.095000           Replacement   3.750000  FairlyPaid    0.677772
106  00-0039412   J.Jean-Baptiste     5        54.116129      4.032258       15.322581           4.000000   1.035297           Replacement   3.750000  FairlyPaid   -0.155910
107  00-0034831           R.Green     5        53.548753      6.466298       11.977318          16.400000   1.210000           Replacement   3.750000  FairlyPaid   -0.085197
108  00-0031795        D.Williams     5        52.711632      1.482732        3.330617          13.400000   1.210000           Replacement   3.750000  FairlyPaid   -0.085197
109  00-0037310         J.Houston     5        51.762803      6.624860        4.848661          26.200000   1.087500           Replacement   3.750000  FairlyPaid   -0.134780
110  00-0038581           K.Henry     5        51.258723      6.028369       16.312057          18.400000   1.075000           Replacement   3.750000  FairlyPaid   -0.139840
111  00-0033064          A.Gotsis     5        51.148433      7.889560       14.439973           9.200000   0.443722           Replacement   3.750000  FairlyPaid   -0.395355
112  00-0039749           T.Davis     5        48.912676      1.408451       20.845070           2.000000   1.050638          Run Defender   4.500000  FairlyPaid   -0.149700
113  00-0036682         M.Herring     5        46.701408      7.981221       12.206573           8.000000   0.396000           Replacement   3.750000  FairlyPaid   -0.414671
114  00-0027949            J.Watt     5        45.684785     17.055215       17.177914          66.600000  14.000000              Balanced   4.990001    OverPaid    5.091660
115  00-0039009          D.Horton     5        41.111111      2.777778       16.666667           0.000000   1.160261           Replacement   3.547767  FairlyPaid   -0.105330
116  00-0039900        M.Kneeland     5        38.831250      3.125000       13.281250           0.000000   1.708162           Replacement   3.450697  FairlyPaid    0.116438
117  00-0032655          R.Okwara     5        37.796353      7.902736        7.902736           8.000000   2.500000           Replacement   3.406635  FairlyPaid    0.436941
118  00-0033563         C.Watkins     5        34.361890      0.330033       13.513983           4.333333   0.315000           Replacement   3.260405  FairlyPaid   -0.447456
119  00-0035343       J.Ledbetter     5        34.347822      2.713064       12.459618           9.000000   0.870000           Replacement   3.259806  FairlyPaid   -0.222815
120  00-0038940            T.Lacy     5        32.117647      0.588235       15.882353           0.000000   1.131780           Replacement   3.164852  FairlyPaid   -0.116858
121  00-0034612          D.Harris     5        30.175752      1.462119        7.090905           0.000000   1.170000           Replacement   3.082172  FairlyPaid   -0.101388
122  00-0037303      M.Henningsen     5        28.379086      3.086011       17.196273           2.000000   1.100000           Replacement   3.005676  FairlyPaid   -0.129721
123  00-0033969        I.Odenigbo     5        26.848276     12.643678       16.091954          29.000000   1.080000              Balanced   3.920664  FairlyPaid   -0.137816
124  00-0027662          C.Dunlap     5        25.628876     10.650888       14.792899          30.800000   3.000000           Replacement   2.888580  FairlyPaid    0.639320
125  00-0036305          T.Gipson     5        23.891886      1.471451        2.513257          10.600000   0.410000           Replacement   2.814624  FairlyPaid   -0.409004
126  00-0035944       Jo.Williams     5        22.742857      0.317460        0.000000           9.000000   0.342000           Replacement   2.765702  FairlyPaid   -0.436528
127  00-0027867     J.Pierre-Paul     5        21.511454      7.001795       12.567325          20.800000   0.396000           Replacement   2.713272  FairlyPaid   -0.414671
128  00-0032107        A.Blackson     5        20.861130      0.510204       12.799003           0.000000   1.377500           Replacement   2.685584  FairlyPaid   -0.017400
129  00-0031500           E.Obada     5        19.645128     11.282051       14.871795           8.200000   0.302400           Replacement   2.633810  FairlyPaid   -0.452556
130  00-0039291           E.Watts     5        19.220779      0.000000       11.255411           0.000000   0.234000           Replacement   2.615742  FairlyPaid   -0.480241
131  00-0034657       M.Dickerson     5        19.036893      0.000000       16.504854           3.000000   1.450000           Replacement   2.607913  FairlyPaid    0.011945
132  00-0029585           C.Jones     5        18.569072      3.342175        4.456233          30.800000  17.000000           Replacement   2.587995    OverPaid    6.305935
133  00-0034424           M.Adams     5        18.309477      0.000000        5.110112           0.000000   1.292500           Replacement   2.576942  FairlyPaid   -0.051805
134  00-0036705          S.Kamara     5        18.021978      0.000000        9.523810           0.000000   0.234000           Replacement   2.564701  FairlyPaid   -0.480241
135  00-0033912          J.Willis     5        15.212180      7.518797       12.030075          10.600000   0.370800           Replacement   2.445068  FairlyPaid   -0.424870
136  00-0036867           C.Rumph     5        13.913203      8.496732       13.071895           6.800000   1.100000           Replacement   2.389762  FairlyPaid   -0.129721
137  00-0031256            A.Barr     5        12.740113      2.542373       20.056497           9.000000   0.370800          Run Defender   2.807778  FairlyPaid   -0.424870
138  00-0036237       L.Murchison     5        12.565517      0.000000        9.961686           6.800000   0.315000           Replacement   2.332381  FairlyPaid   -0.447456
139  00-0034344       M.Davenport     5         9.933878      3.877551       11.020408          12.600000   2.500000           Replacement   2.220334  FairlyPaid    0.436941
140  00-0032215          D.Wilson     5         8.923795      1.224178        6.120888          11.000000   1.210000           Replacement   2.177328  FairlyPaid   -0.085197
141  00-0030946           K.Hyder     5         8.599267      4.889976       11.735941           4.000000   0.370800           Replacement   2.163510  FairlyPaid   -0.424870
142  00-0027952           R.Quinn     5         7.207308      3.846154        6.730769           6.600000  14.000000           Replacement   2.104245    OverPaid    5.091660
143  00-0035541           M.Dogbe     5         6.028369      0.000000       19.858156           0.000000   0.289800          Run Defender   2.464859  FairlyPaid   -0.457656
144  00-0035531          A.Bryant     5         5.000000      3.846154        8.653846           0.000000   1.125000           Replacement   2.010264  FairlyPaid   -0.119602
145  00-0027862          T.Alualu     5         4.683162      3.092784        6.872852           2.000000   1.165000           Replacement   1.996774  FairlyPaid   -0.103412
146  00-0038423          J.Harris     5         2.629870      0.649351        1.623377           0.000000   0.216000           Replacement   1.909351  FairlyPaid   -0.487527
147  00-0034125         K.Vickers     5         2.608696      0.000000        8.695652           0.000000   1.055000           Replacement   1.908450  FairlyPaid   -0.147935
148  00-0035306         D.Johnson     5         1.101928      0.000000        3.305785           0.000000   1.080000           Replacement   1.844296  FairlyPaid   -0.137816
149  00-0038514           T.Jones     5         1.035971      0.000000        0.575540           0.000000   0.234000           Replacement   1.841488  FairlyPaid   -0.480241
150  00-0037551           M.Jones     5         0.699301      0.000000        2.331002           0.000000   0.972500           Replacement   1.827153  FairlyPaid   -0.181327
151  00-0031130           C.Jones     5         0.063660      0.000000        0.212202           0.000000   0.355444           Replacement   1.800090  FairlyPaid   -0.431086
152  00-0034204         O.Adeniyi     5         0.000000           NaN             NaN           0.000000   1.187500           Replacement   1.797379  FairlyPaid   -0.094304
153  00-0037364           A.Mosby     5         0.000000           NaN             NaN           4.000000   0.234000           Replacement   1.797379  FairlyPaid   -0.480241
154  00-0037046           D.Jeter     5         0.000000           NaN             NaN           0.000000   0.750000           Replacement   1.797379  FairlyPaid   -0.271386
155  00-0034354           K.Turay     5         0.000000           NaN             NaN           0.000000   1.125000           Replacement   1.797379  FairlyPaid   -0.119602
156  00-0035903         J.Gaziano     5         0.000000           NaN             NaN           1.333333   1.170000           Replacement   1.797379  FairlyPaid   -0.101388
157  00-0036291        M.Davidson     5         0.000000           NaN             NaN           4.000000   0.396000           Replacement   1.797379  FairlyPaid   -0.414671
158  00-0036296          J.Zuniga     5         0.000000           NaN             NaN           0.000000   0.940000           Replacement   1.797379  FairlyPaid   -0.194482
159  00-0035850           K.Cline     5         0.000000           NaN             NaN           0.000000   0.960000           Replacement   1.797379  FairlyPaid   -0.186387
160  00-0036341          K.Kareem     5         0.000000           NaN             NaN           0.000000   0.315000           Replacement   1.797379  FairlyPaid   -0.447456
161  00-0035754          J.Kongbo     5         0.000000           NaN             NaN           0.000000   0.705000           Replacement   1.797379  FairlyPaid   -0.289600
162  00-0035654        C.Winovich     5         0.000000           NaN             NaN           2.000000   0.421500           Replacement   1.797379  FairlyPaid   -0.404349
163  00-0036447            D.Bada     5         0.000000           NaN             NaN           0.000000   0.795000           Replacement   1.797379  FairlyPaid   -0.253172
164  00-0035507        K.Phillips     5         0.000000           NaN             NaN           0.000000   1.010000           Replacement   1.797379  FairlyPaid   -0.166149
165  00-0036664    W.Bradley-King     5         0.000000           NaN             NaN           0.000000   1.005000           Replacement   1.797379  FairlyPaid   -0.168173
166  00-0036666           S.Toney     5         0.000000           NaN             NaN           7.000000   1.042500           Replacement   1.797379  FairlyPaid   -0.152994
167  00-0034969          B.Banogu     5         0.000000           NaN             NaN           0.000000   1.080000           Replacement   1.797379  FairlyPaid   -0.137816
168  00-0036788          J.Heflin     5         0.000000           NaN             NaN           0.000000   1.062500           Replacement   1.797379  FairlyPaid   -0.144899
169  00-0037051          E.Garcia     5         0.000000           NaN             NaN          11.333333   1.215000           Replacement   1.797379  FairlyPaid   -0.083174
170  00-0036855           E.Brown     5         0.000000           NaN             NaN           0.000000   1.202500           Replacement   1.797379  FairlyPaid   -0.088233
171  00-0037202        D.Mitchell     5         0.000000           NaN             NaN           0.000000   0.750000           Replacement   1.797379  FairlyPaid   -0.271386
172  00-0033540        T.McKinley     5         0.000000           NaN             NaN           1.000000   0.383400           Replacement   1.797379  FairlyPaid   -0.419771
173  00-0033973             E.Lee     5         0.000000           NaN             NaN           0.000000   1.055000           Replacement   1.797379  FairlyPaid   -0.147935
174  00-0033947            D.Wise     5         0.000000           NaN             NaN          69.666667   1.450000           Replacement   1.797379  FairlyPaid    0.011945
175  00-0037274         E.Otomewo     5         0.000000           NaN             NaN           1.000000   1.030000           Replacement   1.797379  FairlyPaid   -0.158054
176  00-0037298         S.Roberts     5         0.000000           NaN             NaN           0.000000   0.234000           Replacement   1.797379  FairlyPaid   -0.480241
177  00-0033913         C.Wormley     5         0.000000           NaN             NaN           3.000000   0.315000           Replacement   1.797379  FairlyPaid   -0.447456
178  00-0037314          I.Thomas     5         0.000000           NaN             NaN           2.000000   0.234000           Replacement   1.797379  FairlyPaid   -0.480241
179  00-0037061           D.Dixon     5         0.000000           NaN             NaN           0.000000   0.915000           Replacement   1.797379  FairlyPaid   -0.204601
180  00-0037356          B.Stille     5         0.000000           NaN             NaN           2.666667   1.145000           Replacement   1.797379  FairlyPaid   -0.111507
181  00-0037431        K.Jonathan     5         0.000000           NaN             NaN           3.000000   0.234000           Replacement   1.797379  FairlyPaid   -0.480241
182  00-0037474          T.Shelby     5         0.000000           NaN             NaN           0.000000   0.216000           Replacement   1.797379  FairlyPaid   -0.487527
183  00-0037760          J.Gunter     5         0.000000           NaN             NaN           0.000000   0.915000           Replacement   1.797379  FairlyPaid   -0.204601
184  00-0033588         I.Rochell     5         0.000000           NaN             NaN           0.000000   1.080000           Replacement   1.797379  FairlyPaid   -0.137816
185  00-0037843           D.Hardy     5         0.000000           NaN             NaN           0.000000   2.485000           Replacement   1.797379  FairlyPaid    0.430869
186  00-0038093         N.Farrell     5         0.000000           NaN             NaN           0.000000   1.100000           Replacement   1.797379  FairlyPaid   -0.129721
187  00-0033541        T.Charlton     5         0.000000           NaN             NaN           0.000000   1.080000           Replacement   1.797379  FairlyPaid   -0.137816
188  00-0034810          S.Joseph     5         0.000000           NaN             NaN          25.866667   6.500000           Replacement   1.797379  FairlyPaid    2.055974
189  00-0039425            M.Cole     5         0.000000           NaN             NaN           0.000000   1.005000           Replacement   1.797379  FairlyPaid   -0.168173
190  00-0036878        J.Robinson     5         0.000000           NaN             NaN           5.800000   1.100000           Replacement   1.797379  FairlyPaid   -0.129721
191  00-0039431          J.Briggs     5         0.000000           NaN             NaN           0.000000   1.075000           Replacement   1.797379  FairlyPaid   -0.139840
192  00-0039510          C.Rogers     5         0.000000           NaN             NaN           0.000000   0.234000           Replacement   1.797379  FairlyPaid   -0.480241
193  00-0039640            K.Duke     5         0.000000           NaN             NaN           0.000000   0.880000           Replacement   1.797379  FairlyPaid   -0.218768
194  00-0039284        B.McGregor     5         0.000000           NaN             NaN           0.000000   0.950000           Replacement   1.797379  FairlyPaid   -0.190435
195  00-0038850        T.McLendon     5         0.000000           NaN             NaN           0.000000   0.216000           Replacement   1.797379  FairlyPaid   -0.487527
196  00-0039752         C.Johnson     5         0.000000           NaN             NaN           4.000000   1.039597           Replacement   1.797379  FairlyPaid   -0.154169
